text,label
Bamboo can promote tourism,Yes
Waking up in the morning and doing yoga or exercise is good for health.,Yes
"There are three types of Bihu - Bhogali bihu, Rongali bihu and Kongali bihu.",Yes
"iLearn is down and out, great considering finals are this week...",No
"Mulethi or Licorice is highly important in treating indigestion, ulcers, cardiac problems, respiratory issues, liver damage, and several skin and hair woes.",Yes
Rongali or Bohag Bihu is celebrated with much festivity and joy during the month of April. Bihu dance is associated with the Rongali Bihu.,Yes
"Curcumin, the active constituent of turmeric may be useful for management of cancer and some other major diseases.",Yes
Pressing a clove between the teeth can provide relief from toothache for some time.,Yes
This is Martha. She is waiting to see if you might need something soft and fairly squishy to cuddle with. Because she might be able to help.,No
"When the rain is about to begin, the spider makes its webs in opposite direction to which the rain is coming",Yes
"Foot-and-mouth disease (FMD) in cattle is controlled by applying to the affected parts with 500 g each of harida and behada powder mixed with 2.5 liter water, twice a day, after boiling",Yes
"A joint statement issued by the #US, #Australia, and Japan on 5 Aug, urged #China ""to immediately cease"" their military exercises in the Taiwan strait.",No
"Maybe one of these years I'll get a tax return. A girl can dream, right?",No
"The local people devised an inventive solution for crossing the rain-swollen rivers of monsoon with wisdom drawn from nature. They created “living” bridges with the sturdy roots of a particular type of rubber trees. These trees have a secondary root system originating high up from the trunk. The locals guided these secondary roots through a system of scooping-out betel nut tree trunks to the opposite bank. Over a period of ten to fifteen years, these take root and create functional and secure bridges that can support the weight of over fifty people at a time.",Yes
"i dont want to believe what im reading...buu,so sad",No
The Cairns International Science and Eco Festival is from 18th-20th of August. This is the first in the country to be led by Aboriginal and Torres Strait Islander people,No
finding it really hard to use twitter,No
On the occasion of katibihu lit a clay dia in front of tulsi plant along with Yashvir so that what we learnt from our parents can be continued further by him as Bihu is a pride of all our Assamese people.,Yes
"I wanna rock a Maxi dress  Coachella, but lacking funding",No
"In Assam, today is KatiBihu, celebrated on the 1st day of Kati month. People light lamp in Paddy Field for healthy crops",Yes
"For the Assamese community, Kati Bihu is a time of solemn prayers",Yes
stephenkruiser i had 2 put my dog down today too someone ran her over,No
Gamosa is an indispensable part of almost all socio-religious ceremonies in Assam.,Yes
"This RakshaBandhan, be loyal to the bond u share and promise u make. most importantly treat everyone's sister as Ur own.",No
listening to Murd and 9th wonder- just chillen out missing my crazy sex life,No
gotta repeat whole art folio cuz old one with a whole terms work got wet,No
Turmeric Protects Diabetics Against Renal Inflammation that Causes Diabetic Nephropathy (Dn),Yes
"This earthquake in italy has me sadden. it's only three hours away from naples, where my family is",No
"Turmeric helps restore thyroid tissue, allowing the thyroid to regenerate and restore",Yes
"Onions help reduce the level of cholesterol in your body and may also help break down blood clots, lowering your risk for heart disease and stroke.",Yes
"Agroforestry Based Production System This is common in tribal of India. In certain agroforestry based systems, the trees and certain plants are consciously maintained on farm lands. In Arunachal Pradesh, planting of Terminalia myriocarpa and Morus lavigata highly valued timber species are very common. In Meghalaya, thinned pine tree + ginger and planting in pineapple field or boundary line are worth to be noticed. In Mizoram, contour trench farming is practiced in Jhum area. In this model land use system, top portion is undisturbed forest, middle portion is with horticulture crops and down the hills terraced rice is cultivated with contour trenches planted with pineapple or grasses [14].",Yes
Centella Asiatica paste relieves upset stomach.,Yes
"Turmeric is gold in powdered form. It has a distinct bright yellow color and is hard to mess up with any other spice in your cupboard.  Alongside, being an amazing addition to the kitchen, this golden spice has plenty of beneficial properties for our health.",Yes
thestar_rage I want one too is the branch in MidV open too?,No
Boredd. Colddd Internet keeps stuffing up,No
"Alder based agriculture in Nagaland: In some pockets of Nagaland the farmers use Alnus nepalensis (Alder) tree for agriculture. In this system the Alder seedlings are planted on the sloppy land intended for cultivation and the alder grows fast till attain six to ten years old. At this stage initially the trees are pollarded, the leaves and twigs are burnt and ash is mixed with soil to prepare it for raising crops such as maize, millets, potato, barley, wheat, chilli, pumpkin, taro etc. [9]. Subsequently also pollarding is done once every four to six years. Under this process coppice are cut except five to six on top of the main trunk and crop schedule is followed including fallow period of two to four years. The bigger branches stripped of leaves are used for fire wood, while the root of the tree develop nodules (colonies of Frankia) responsible for fertility improvement whereas spreading nature of the roots helps in preventing soil erosion in slopes.",Yes
"Men of the Angami tribe wear shawls while women wear mechala, a wraparound skirt. Colourful ornaments are worn by both the genders. This tribe is noted for its woodcraft, including cane furniture. Pork with bamboo shoots are their staple food.",Yes
NKDreamer did you see Donnie's tweet stats? almost 700  replies...and no JRK,No
Kati Bihu is festival to pray for good harvests and well-being of all by lightening the lamp.,Yes
"Adi Tribe belongs to the hills and have their own village, laws and council. The tribe is further divided into several sub tribes. Men of the tribe wear cane, bear and deer skin helmets, all depending on the region they belong to. The women here wear dresses as per their age and marital status. Unmarried women wear beyop, an ornament made of five to six brass plates fixed under their petticoats. The tribemen are into trapping and hunting of pigs and other animals.",Yes
"Chef Salangyanger reflects the diversity of talents that  Naga Youth are now putting into use. It reflects the Modern Naga, infusing modern and traditional knowledge to innovate new creations. Also looking forward to his book Naga Appetite.",Yes
"Four spices that have strong anti-inflammatory effects on the body include: ginger, turmeric, rosemary, cloves",Yes
ballinbitch haha im not THAT ballin. I still got bills to paaaaay,No
clarianne Knot2serious APRIL 9TH ISN'T COMING SOON ENOUGH,No
"The people of Thar Desert of Rajasthan who live in the harshest of conditions are known for their ingenuity and tenacity. Their vigour and resourcefulness have, for example enabled them to turn the seemingly undesirable toxic desert milkweed into threads for weaving charpois (cots). They also use its sap as a natural termite and insect repellent. Using such locally available resources has been in practice in the Thar Desert for centuries.",Yes
Shiner is taking up all my bed and blankets!,No
The Muga which is known as the golden silk is only produced in Sualkuchi and is not produced anywhere else in the world.,Yes
"In Sikkim, rotten forest litter or organic matter rich top soil is used to put into grooves or rock over potato seed or farmers use forest litter as bedding material for compost production. Rice and maize cultivation on terraces are practiced since long time. This method controls surface run off and prevents rill formation and controls the advancement of already existing gullies. The traditional large Cardamom drying kilns (bhutti) do not need the highly specialized skills and foreign input material. The kilns are made of locally available mud and stone masonry walls on four sides.",Yes
heidimontag just got done watching the hills! loved it! excited for the next episode! and im sad this is the last season!,No
I feel like I am the only &quot;twitterer&quot; not on TweetDeck.,No
National approach to coercive control to be discussed by state and federal law officers on Friday,No
Assamese men wear the dhoti-gamosa which is their traditional dress.,Yes
"Kaji Nemu, an indigenous and seedless variety of lemon grown organically in Assam, is comparatively larger. It is attractively green, juicy and elliptic. Kaji Nemu has a smooth peel, ascetic taste and heady aroma and is extensively used in local cuisine & beverages.",Yes
"hannahsix cream for his eye and he may have herpes - not ocular herpes, but a different strain. He's doing okay though.",No
came back from running and took a shower...why does my lower stomach still hurt after exercising?,No
Adi tribes of Basar put five wooden / bamboo sticks randomly in the rice field during flowering stage and place dead frog / dry salted fish / crabs on the stick to attack adult Gandhi bugs.,Yes
Since earlier times farmers used to practice in an integrated way to improve soil and water conservation and manage nutrients in apple orchard.,Yes
A little sad,No
The dances of the Bodos are associated with the Kherai Puja festival where Bagurumba dance is the most popular.,Yes
has hurt her ankle!! and is going to the dr,No
"Konyak women during their attempt to get world record in Mon district of Nagaland for largest traditional Konyak dance. Around 5,000 women participated here.",Yes
Fresh leaves of parasi and sali are spread on the insect-infested field. A majority of insects (70-80%) are controlled with this practice.,Yes
"The original ‘Street Fighter’ was admittedly a flawed game, but it created the blueprint for the entire fighting game genre.",No
not feeling v good abt myself,No
"GABBYiSACTiVE brat! You have to rub it in, don't you.... I want a mocha",No
stephenkruiser I am so sorry to hear that! Take care!,No
The women wear motif-rich Mekhela Chador or Riha- Mekhela.,Yes
"Gathering of burned pieces of trees called - MANG KHAWH. After jhum burning, farmers cleared the land littered with unburned or half-burned bamboo, trees, creepers etc and gathered together and re-burnt them.",Yes
The Uluru Statement from the Heart is a generous invitation to the Australian people. Here's what it asks.,No
carlyw66 HAHA. I cried... I guess he did....,No
"Turmeric Reduces the Risk of Diabetic Nephropathy in Diabetes, According to Researcher",Yes
watching Fallon with mom and working on a project...school is hard,No
is at Beso in Hollywood... so tired,No
"Breathing is the most essential element of ancient Indian tradition of Yoga! Popularly known as the Ujjayi breath or the ocean breath, it let's you anchor the body, mind, and spirit to the present moment.",Yes
Devinthedude007 actually the whole site has finally been taken over by those damn russians,No
"Turmeric face mask is effective and cheap. Mix small amounts of Greek yogurt, honey, and turmeric together and apply to your face for up to 15 minutes.",Yes
Every Indian has a special bond with the Tiranga. Gave the Tiranga to my young friends earlier today. The smile on their faces says it all!,No
It's pure instinct. Formed as a machine. Told through beautiful symbols. Deeper interactions. And brave simplicity.,No
"Sugar absorbs the water present in the wound. Sprinkle it on the affected area, make sure to clean the wound properly",Yes
"Honey helps clean wounds or burns, prevent further infection as well as reduce swelling.",Yes
"Dhak & Dhakis are the inseparable part of Durga_Puja . The beat of dhak welcomes Maa Durga . This large hollow wooden instrument is covered on both ends with hide. Played either with bamboo sticks or hands, the instrument is slung over the shoulder, suspended from the neck.",Yes
"Kuhila koth is a famous handicraft mostly done in Batadrava area of Nagaon district. This is woven on a loom like item made of wood and bamboo poles. It is used to make seats, mats and cushions.",Yes
Im in the mood for some chocolate. I want..... Miniature Reeses cups. Now,No
Traditional knowledge and wisdom of the Tribes of Arunachal Pradesh to make bamboo and rattan bridge an age old practice.,Yes
Marigold is beneficial as an antiseptic and an excellent remedy for wound treatment.,Yes
"turmeric, popularly knwn as the 'golden spice' or the 'spice of life' possesses various medicinal properties. It is known as Haridra in Sanskrit which means to spread a deep yellow dye or colour",Yes
"louie094: shooting!?!! be careful, luisa",No
"Holi in North and Yaosang in Manipur. The names are different but the feeling is same. A festival of colours, Yaosang will make you fall in love with the rich culture of Manipur.",Yes
"Cucurbit seeds are kept embedded in fresh cow dung ball which then buried deep in soil for better germination, growth and yield",Yes
should've been asleep two hours ago,No
thousand_miles no,No
im on val's mac in iitsc clubroom. still sweating,No
PaulColes hmmm...greed is good when it motivates the individual to do better-not so much when it takes away from others,No
"Gundhi (Chard) which occurs in kharif paddy fields in stagnant water, can be controlled by broadcasting freshly plucked karada leaves in August.",Yes
Improved flexibility is one of the first and most obvious benefits of yoga.,Yes
Hollong the tallest tree of Assam also known as the ‘State Tree’ is found in these forests.,Yes
ikimb0 i just seen ur tweet . plz write bak if u get this. i havnt got one reply bak,No
MY TWEETS ARENT GOING THROUGH,No
"my heart is broken every morning dropping Foo at pre school, now i understand when moms say &quot;he has my heart broken&quot;.",No
The term for 'Mantis' is one of the most beautiful words/names in Assamese. It is called 'Gaaginee' (গাগিনী),Yes
Guests in Assam are welcomes with the offering of Gamosa along with the Tamolpan.,Yes
Kareem Abdul-Jabber rocks Kent Benson after catching an elbow to the stomach.,No
"Stone Apple (Bael) might have anti-diarrhoea ingredient. Its juice is mixed with water and drenched to the animals suffering from diarrhoea, 2-3-times a day.",Yes
"just leavin work, my feet hurt",No
"In Arunachal Pradesh, farmers protect springs from flooding and encroachment of livestock. They maintain water sources by using locally available materials mainly stone, wood, bamboo, soil etc. In this state, farmers believe that the use of cowdung slurry can protect crops from aphid attack and as repellent to cutting and biting insects and animals. Cattle urine has successfully used against thrips, mites, aphids and caterpillars. Application of extracts prepared from the parts Sisnu (Urtica spp) and fruits of Timuz",Yes
Assamese traditional attire (MekhelaChador) of Assam makes a woman look elegant & stunning.,Yes
is really sad and doesn't really know y!!??!!!,No
polhillian YUP.,No
LizChavez I can't set my feet on the ground. The missing eyelid people might get me!,No
ALOEVERA helps to brighten the complexion and protect skin against the damage caused by Sun rays.,Yes
ugh horrible ending to the sandra kantu story prayers go out.,No
TURMERIC  helps remove excess oil from the skin.,Yes
"Many traditional uses of cow dung such as burning as fuel, mosquito repellent and as cleansing agent.",Yes
Sleeping late at night is very bad for health.,Yes
stephenkruiser that's horrible sorryto hear that.,No
I need to go to the bank tomorrow before I go broke...,No
vacations makes me feel sick!,No
"katebornstein which is pretty anti memorial tattoos but for all but the strictest, there's no official BAN, just disapproving family",No
Wyldceltic1 He has Karate tournament in 8 weeks,No
Traditional knowledge of bamboo processing for building materials and construction of housing in North East India.,Yes
gross i have a pimple,No
"Haldii doodh or Turmeric latte is considered the one-stop remedy for cold, flu and other monsoon diseases.",Yes
"Curry powder can help prevent and fight cancer, support digestive health, improve heart health.",Yes
Jaapi is a symbol of respect. It is a traditional Assamese headgear or hat offered to guests.,Yes
"In several parts of the Himalayas villages, villagers often harvest rain water by building small waterstorage ""ponds"" (locally called chaal).",Yes
FollowSavvy I never found her. everytime I click on her twitter thing through your myspace..... it goes to some dude's page,No
Old ghee massaged on chest and back reduces cough,Yes
ryanmwilson aww that stinks! *hugs*,No
Morning! Bah Car won't start.. waiting for the ANWB....,No
"Tamolpan (areca nut and betel leaves) is considered as offers of devotion, respect and friendship. There is a significant tradition of Assam of offering Tamolpan to guests and elders as a sign of respect.",Yes
"practice to retain rain water in the soil and to grow trees, particularly mango, neem and teak, which are best suited for arid and semi-arid regions.",Yes
"Large Cardamom Plantation in Sikkim The indigenous tribes i.e. Lepcha and Limbu used to collect large cardamom from natural forests and domesticate under shade trees like alder. Farmers have evolved a tree cutting schedule to get continuous supply of forest wood and fodder without affecting the shade requirements of large cardamom plants. This tree management system is also helpful in preventing lifting of large cardamom clumps due to thick subsurface spreading roots of old trees. Otherwise, lifting of clumps result into low productivity of large cardamom.",Yes
This is JhumCultivation where settlers clear land to do plantation practiced in NE hills. This cultivation has dropped to 70% for many reasons. I urge govt to recognize the jhumcultivation land as agricultural land so they can get benefits of agricultural policies.,Yes
"i should be sleeping, i have a stressed out week coming to me.",No
deepbluesealove My Mom &amp; Dad both get up around 6...too early for me,No
"Bodo people are responsible for rice cultivation, tea plantation and poultry farming in this part of India. Weaving and silkworm rearing are also part of Bodos livelihood. Rice is their staple food, while Zu Mai (rice wine) is their home drink!",Yes
"Raising Sali Paddy Seedlings by Dapog Method under-Bakalia ADO Circle, Karbi Anglong, Assam.",Yes
Wild sugarcane twigs of height 4 to 5 feet and 4 to 5 cm diameter are planted after 15 days of transplanting in rice field for control of leaf-roller.,Yes
Star fruit is good for Jaundice,Yes
"When a house bird (gauraiyya) moves its wings while sitting on the sand, it is the indication that rain will be there within short time.",Yes
"well the pc in my living room suffered a fatal partion lost, all my itunes library is gone.. and some docs with pics....",No
Torturedlady yea ma'naaaaaaaaaaaaaaaaaaaam (marwan accent) lol,No
"The Xorai is a manufactured bell metal product is one of the traditional symbols of Assam, which is considered as an article of great respect by the people of Assam.",Yes
"To treat the lesions of mouth and hooves of the animals suffering from FMD, an extract of peach leaves mixed with fresh milk is applied three times daily on the lesions of FMD-affected parts of the animals.",Yes
"""Chunjun"" is a Karbi traditional religious ritual.",Yes
got the ebay blues! item i want jumped from no bidders to over $100 in an hour.. still has 3 hours to go. i'd better not get my hopes up,No
David_Henrie i cant find it! it says dtmafiaofficial doesnt exist!there's jus 1 dtmafia i found n u dun seem to b followin it wht to do?,No
sad day: manu out for the season,No
The Apatani system of rice cultivation is not found anywhere else in the world. It is highly efficient and helps to preserve the ecosystem in which it is practiced. The farming system is still organic in nature and has not yet been influenced by modern farming techniques and the introduction of chemical fertilizers and pesticides.,Yes
im so tired of work...i need a life....,No
The Hoyts Distribution NZ website isn't working for me. Great. And it HAS to be like this when I need it most,No
urmeric and black pepper is a natural anti inflammatory that doesn’t harm your stomach. It’s a no brainer!,Yes
"heidimontag I dvr'd it and went to watch it, apparently the dish network went down SO I MISSED IT I will have to catch a rerun!",No
"Harjore is a perennial climber, used in the treatment of bone fracture in animals as well as in human being",Yes
doesn't enjoy learning CSS. potato tomato cucumber cow dung garlic face,No
Tobacco is soaked in water in the ratio of 1 : 10 overnight and the extracted liquid is filtered through fine cotton cloth. The filtered material is sprayed either with spray machine or fine broom to Control shoot and fruit borer.,Yes
[-O] I wish the frogs weren't becoming extinct http://tinyurl.com/cxe8w7 black pepper,No
GRAM FLOUR brightens and lightens the skin tone.,Yes
Tachi: Worship for control of pests in maize. This is done in the month of May-June. Pigs or poultry birds are sacrificed to Goddess and there is a ban to enter the field on that day.,Yes
Not feeling well and back hurts cultivation traditional forest neem leaves leaf honey yoga,No
Sunga pitha is a traditional delicacy specially prepared for magh-bihu. This Sunga Pitha is prepared on the Uruka (the night before magh-bihu),Yes
The presence of traditional 'detoxifying' appetizers like Khar is prepared by burning the stem of the banana tree. It has a specific flavor which is soothing for the tummy.,Yes
"wants her step brother home im so worried, you dont even know. i hope he knows how much i care for him...",No
"Jhumcultivation was always in the region & so were landslides. There are established rules that do not allow jhum in given areas. Don't blindly blame jhum, it is the unsustainable development models causing more of these landslides in northeastindia.",Yes
"tim_grainger nah, I haven't received my stimulus yet",No
"Neem has strong health alleviating activity, used as a tonic and astringent that promotes healing. ",Yes
"daNanner aw, sorry to hear that.",No
"I reaaly miss john mayer's twitters. fuck rude people. Remove him if you don't like his tweets, bitchfucks.",No
The paste of its leaves is prepared after grinding it along with water and is applied on the infected foot of cattle and buffalo at least twice daily for 3-4 days.,Yes
"Performing yoga protect us from conditions like arthritis and back pain, and help prevent falls in elderly people.",Yes
HONEY is capable of healing damaged skin due to sun rays.,Yes
"a paste made of cow dung and mud is often applied to the floors and walls, it is believed this mixture reportedly forms a waterproof layer which acts as a natural insulator for the house protecting it from heat gain or loss.",Yes
Chewing young guava leaves reduces toothache.,Yes
"Cow dung, an excreta of bovine animal, is a cheap and easily available bioresource on our planet.",Yes
