text,label
"Turmeric helps restore thyroid tissue, allowing the thyroid to regenerate and restore",Yes
The curcumin found in turmeric can help wounds heal by decreasing inflammation and oxidation. It lowers the response of body to cutaneous wounds. This results in wounds healing more quickly.,Yes
"Nishi tribe of Arunachal Pradesh use rat trap called 'Gurung'. The trap is made of tauk (thin bamboo) with long internode. Garo tribes of Meghalaya use grain storage structures made up of thatch grass, bamboo and wooden poles.",Yes
The boys live in a bachelor dormitory called nokpante and they live in their wife's house after marriage.,Yes
"heidimontag Lauren is being stubborn. she loves you, you love her. I feel so bad for you, though. it made me cry lol!",No
"Many traditional uses of cow dung such as burning as fuel, mosquito repellent and as cleansing agent.",Yes
"Fenugreek has benefits for lowering blood sugar levels, boosting testosterone, and increasing milk production in breastfeeding mothers.",Yes
Assamese traditional attire (MekhelaChador) of Assam makes a woman look elegant & stunning.,Yes
Still doing my homework!!!,No
Also I shouldve Bern asleep an hour ago,No
"Cucurbit seeds are kept embedded in fresh cow dung ball which then buried deep in soil for better germination, growth and yield",Yes
georgeruiz Unfortunately one of those moments wasn't a giant squid monster.,No
"a paste made of cow dung and mud is often applied to the floors and walls, it is believed this mixture reportedly forms a waterproof layer which acts as a natural insulator for the house protecting it from heat gain or loss.",Yes
"Came home from Cross County, Tired as",No
thestar_rage I want one too is the branch in MidV open too?,No
"Konyak women during their attempt to get world record in Mon district of Nagaland for largest traditional Konyak dance. Around 5,000 women participated here.",Yes
"Cinnamon suppresses appetite, regulates blood sugar levels, lowers your cholesterol and speeds up your metabolism, in addition to torching belly fat.",Yes
"In most of the fishing techniques, herbal poisons are used as they have short lived effects in comparison to chemical. Some of the herbal poisons are Tam: It is a herbal poison; Talik: Bark of the tree; Tanir: Bark of the tree; Ramil: Bark of Acacia pinnata; Takh: Bark of Gynocardia odorata; Ripik: Bark of Millietis pachycarpa; Mute: Fruits of tree. Onyur: Fruits of tree; Dikotamo: Whole plant of Polygonum hydropiper; Rukdik : Whole plant; Satamo/ Pagmo: Fruits of tree.",Yes
I need to go to the bank tomorrow before I go broke...,No
birutagme yeah it was really depressing... stuff like that gets to me,No
Tachi: Worship for control of pests in maize. This is done in the month of May-June. Pigs or poultry birds are sacrificed to Goddess and there is a ban to enter the field on that day.,Yes
"whoisariston No problem, tongue-in-cheek remark. Lots of acronyms, but no NZ",No
Rongali or Bohag Bihu is celebrated with much festivity and joy during the month of April. Bihu dance is associated with the Rongali Bihu.,Yes
limbecky I'm doing the time warp without you and am sad.,No
Morning folks 7.00 am ..yawn! Up &amp; away to see to horses - hope Twitter is better behaved today! Last night was a travesty,No
"Curcumin, the active constituent of turmeric may be useful for management of cancer and some other major diseases.",Yes
"Consumption of ginger, turmeric and honey during cough and cold helps the body to relax and increase immunity.",Yes
"Ginger and turmeric: health benefits ; Pain relief* *If you want relief from muscle pull, joint pain, back pain or arthritis pain, Reduces nausea and morning sickness. ... Reduces inflammation. ... Boosts immunity*",Yes
Traditional knowledge of bamboo processing for building materials and construction of housing in North East India.,Yes
"The mim kut, for instance, is held in August or September, after the first harvest of the year; it is intended both to give thanks and to honour deceased relatives. The pawl kut is also a harvest festival, which takes place in December or January. Among shifting agriculturalists.",Yes
"Sugar absorbs the water present in the wound. Sprinkle it on the affected area, make sure to clean the wound properly",Yes
"In Sikkim, rotten forest litter or organic matter rich top soil is used to put into grooves or rock over potato seed or farmers use forest litter as bedding material for compost production. Rice and maize cultivation on terraces are practiced since long time. This method controls surface run off and prevents rill formation and controls the advancement of already existing gullies. The traditional large Cardamom drying kilns (bhutti) do not need the highly specialized skills and foreign input material. The kilns are made of locally available mud and stone masonry walls on four sides.",Yes
Bamboo can promote tourism,Yes
"The chapchar kut is held at the start of the agricultural year, after the forest has been felled and before the burning of the new fields begins—usually sometime in March.",Yes
"Visited the bellmetal industry of Sarthebari, Barpeta, Assam and met the executives of the co-operative society. It is the second largest handicraft sector after bamboo craft in Assam.",Yes
Mari: This is the worship of Goddess Laxmi after the harvest of the paddy crop. This is done in the months of November–December. Like Ampu sacrifice of pig is compulsory in this puja.,Yes
Salt prevents low blood pressure.,Yes
National approach to coercive control to be discussed by state and federal law officers on Friday,No
"Wanted to introduce this aromatic variety of rice (Chubok as you call it in Karbi). Grown in the jhum fields of the Karbi hills, PIRBI is trying to provide a sustainable livelihood & empower their women. Currently available in Tholgiri, Uzan Bazar.",Yes
Superneej: Morning! Bah Car won't start.. waiting for the ANWB....,No
Can't sleep again,No
TOMATO is a source of vitamin C and antioxidants that promote the growth of collagen in the body. It is effective in preventing skin against sunburn.,Yes
"GRAM FLOUR tightens the skin, reduces large pores and restores the skin's pH balance.",Yes
"shifting agriculture, in which tracts—called jhum—are cleared by burning, cultivated for a limited period of time, and then abandoned for a number of years to allow regeneration of the natural vegetation and nutrients in the soil.",Yes
"In Arunachal Pradesh, farmers protect springs from flooding and encroachment of livestock. They maintain water sources by using locally available materials mainly stone, wood, bamboo, soil etc. In this state, farmers believe that the use of cowdung slurry can protect crops from aphid attack and as repellent to cutting and biting insects and animals. Cattle urine has successfully used against thrips, mites, aphids and caterpillars. Application of extracts prepared from the parts Sisnu (Urtica spp) and fruits of Timuz",Yes
stephenkruiser awww so sad!!! I'm so sorry!!,No
"Turmeric face mask is effective and cheap. Mix small amounts of Greek yogurt, honey, and turmeric together and apply to your face for up to 15 minutes.",Yes
"ALOEVERA Putting aloe vera gel on your face every day can give you a soft and smooth skin. It can also help in shrinking the pores, as well as cleaning and nourishing the skin by removing the oil and dirt from your skin.",Yes
"physical benefits of yoga include: increased flexibility, increased muscle strength and tone, improved respiration, energy and vitality, maintaining a balanced metabolism, protection from injury, improved athletic performance, cardio and circulatory health, weight reduction",Yes
"Holi in North and Yaosang in Manipur. The names are different but the feeling is same. A festival of colours, Yaosang will make you fall in love with the rich culture of Manipur.",Yes
paul_e_wog Wait...is it a game or just episodes? I'm so confused.,No
CURD helps in reducing pigmentation and acts as a natural bleaching agent.,Yes
"In most of the fishing techniques, herbal poisons are used as they have short lived effects in comparison to chemical. Some of the herbal poisons are Tam: It is a herbal poison; Talik: Bark of the tree; Tanir: Bark of the tree; Ramil: Bark of Acacia pinnata; Takh: Bark of Gynocardia odorata; Ripik: Bark of Millietis pachycarpa; Mute: Fruits of tree. Onyur: Fruits of tree; Dikotamo: Whole plant of Polygonum hydropiper; Rukdik : Whole plant; Satamo/ Pagmo: Fruits of tree.",Yes
The Muga which is known as the golden silk is only produced in Sualkuchi and is not produced anywhere else in the world.,Yes
MY TWEETS ARENT GOING THROUGH,No
"stephenkruiser I'm so sorry to hear that. It's always sad when we lose those close to us, as we loved them.",No
ddlovato Do you hate us?? Please don't,No
stephenkruiser oh my sympathies. it's a hard decision. i always hope my old border collie will go in her sleep. she's 14 too. *hug*,No
ballinbitch haha im not THAT ballin. I still got bills to paaaaay,No
clarianne APRIL 9TH ISN'T COMING SOON ENOUGH,No
"Like the case of Gamocha, It is also not negligible at any cost,this is also a disrespect and insult for the Shattriya dance of Assamese culture.We cannot Dance Breaking and say it's Bharatnatyam,the person who don't know any of this will think that right",Yes
"When we think of Bihu, we think it from the current context. But it also has a history of itself as well. It developed as a cultural art form under the Ahoms of Assam.",Yes
There is a tradition of offerings of tamolpan and other gifts in a Xorai (a bell metal traditional object of Assam).,Yes
"d_castillo ugh, that's disconcerting",No
"turmeric, popularly knwn as the 'golden spice' or the 'spice of life' possesses various medicinal properties. It is known as Haridra in Sanskrit which means to spread a deep yellow dye or colour",Yes
"shifting agriculture (jhum), whereby land is cleared by burning the vegetation, is cultivated for several years, and then is abandoned in favour of another site when the productivity of the soil declines.",Yes
Guests in Assam are welcomes with the offering of Gamosa along with the Tamolpan.,Yes
"Just finished a delicious breakfast, my last in Paris I'll miss milk, europe has the tastiest milk in the world, I don't drink it in US.",No
"Chef Salangyanger reflects the diversity of talents that  Naga Youth are now putting into use. It reflects the Modern Naga, infusing modern and traditional knowledge to innovate new creations. Also looking forward to his book Naga Appetite.",Yes
The Cairns International Science and Eco Festival is from 18th-20th of August. This is the first in the country to be led by Aboriginal and Torres Strait Islander people,No
enhance Energy healing through Marma as well as The Connectivity between chakras and mama,Yes
"Riha is a handwoven handloom, from Mezankori fed Muga silkworms. Leaves from only 9 trees - Soom, Xuwalu, Mezankori, Digholoti, Patihunda, Sompa, Bhoomlota, Pansopa and Kotolua are used to feed the silkworms.",Yes
"The local people devised an inventive solution for crossing the rain-swollen rivers of monsoon with wisdom drawn from nature. They created “living” bridges with the sturdy roots of a particular type of rubber trees. These trees have a secondary root system originating high up from the trunk. The locals guided these secondary roots through a system of scooping-out betel nut tree trunks to the opposite bank. Over a period of ten to fifteen years, these take root and create functional and secure bridges that can support the weight of over fifty people at a time.",Yes
"Fishing is an exotic origin among Adis of Arunachal Pradesh [4]. There are altogether 32 different fishing techniques adopted by tribes only. Out of them, Hib Rinam is more harmful to aquatic life. Rilen Minnam, Hibok Pena, Hill Monam and Hibok Tumnam are harmful and Likam Panam, Liru Hinam, Ngou Paanam and Ngoi Tumnam are harmful. Other techniques are completely harmless to aquatic life. Common indigenous tools used by Galo tribes are Takom: It is a long conical basket placed in the gaps of stone after river, Raju : A conical basket used by females placed in between two legs while hands move the stones, Edir : A well designed basket with a value used after draining the river to catch running fish, Chirdo: A cylindrical basket used to cover the stone pill before removing stones, Ekar: A fishing rood/line and hooks used during angling, Ehap: A fishing net thrown from distance to cover the fish, Mohap: A long stick fitted with iron tip at the kill the fish outside water, Saptor: a small sized net, fitted with four sticks used to catch fish by spreading it on the floor of river, Mojkali: A iron cap fitted arrows to shoot big fish, Ir: A bow used to shoot fish, Orok: Swords used to shoot fish and Taomomi: Thorny basket in which big fishes are driven to it.",Yes
,Yes
im on val's mac in iitsc clubroom. still sweating,No
"The original ‘Street Fighter’ was admittedly a flawed game, but it created the blueprint for the entire fighting game genre.",No
is really sad and doesn't really know y!!??!!!,No
Another day at centre point - this time an early start so guessing train will be rammed with commuters,No
"In Assam, today is KatiBihu, celebrated on the 1st day of Kati month. People light lamp in Paddy Field for healthy crops",Yes
PlayRadioPlay that was so sad and unexpected. i totally cried haha.,No
A little sad,No
"Men of the Angami tribe wear shawls while women wear mechala, a wraparound skirt. Colourful ornaments are worn by both the genders. This tribe is noted for its woodcraft, including cane furniture. Pork with bamboo shoots are their staple food.",Yes
"djsoulsister yeah, great vid. I had the 12&quot; single, but sold it a few years ago",No
"For the Assamese community, Kati Bihu is a time of solemn prayers",Yes
I feel like I am the only &quot;twitterer&quot; not on TweetDeck.,No
"shifting agriculture, in which tracts—called jhum—are cleared by burning, cultivated for a limited period of time, and then abandoned for a number of years to allow regeneration of the natural vegetation and nutrients in the soil.",Yes
"The relaxation techniques incorporated in yoga can lessen chronic pain, such as lower back pain, arthritis, headaches and carpal tunnel syndrome. Yoga can also lower blood pressure and reduce insomnia.",Yes
[-O] I wish the frogs weren't becoming extinct http://tinyurl.com/cxe8w7,No
,Yes
"The villages of Kuki tribes are usually a cluster of closely built houses. The men in the tribe wear colorful sangkhol or a jacket and a pheichawm or a dhoti. Women of the tribe are heavily ornamented with earrings, bracelets, bangles and necklaces all the time.",Yes
The Adi people make use of objects like rocks and logs that can be found on a farm. Corn and a variety of spring onions are planted along fallen logs. Chillies are grown near rocks.,Yes
,Yes
"Dhak & Dhakis are the inseparable part of Durga_Puja . The beat of dhak welcomes Maa Durga . This large hollow wooden instrument is covered on both ends with hide. Played either with bamboo sticks or hands, the instrument is slung over the shoulder, suspended from the neck.",Yes
AmandaEnglund Sorry to hear about your loss. There have been many this year so far.,No
josephheustess ...well there was this really cool part where... i wont spoil it,No
"The looms use mostly raw materials like cotton, Muga, paat (mulberry silk) and endi.",Yes
"Jhum cultivation: It is practiced by the hill farmers to utilize the most of available natural resources to get maximum possible output and to minimize the risks involved in the cultivation by slashing, clearing and burning systems from January-March [5]. Crops grown by the jhum farmers include cereals (rice, maize, millets), legumes (beans, pigeon pea, rice bean, pea, soybean, cow pea), oilseeds(ground nut mustard), root crops (cassava, potato, colocassia, yam, sweet potato), cucurbits (bottle gourd, snake gourd, pumpkin, cucumber, bitter gourd, melons, ridge gourds etc.), seeded vegetables (okra, chilli, brinjal, tomato), fruits (banana, papaya, citrus, ~ 551 ~ Journal of Pharmacognosy and Phytochemistry http://www.phytojournal.com grapes, local fruits), cash crops (coffee, areca nut) and spices (cardamom, black pepper, large cardamom).",Yes
Mari: This is the worship of Goddess Laxmi after the harvest of the paddy crop. This is done in the months of November–December. Like Ampu sacrifice of pig is compulsory in this puja.,Yes
polhillian YUP.,No
"Jhum cultivation: It is practiced by the hill farmers to utilize the most of available natural resources to get maximum possible output and to minimize the risks involved in the cultivation by slashing, clearing and burning systems from January-March [5]. Crops grown by the jhum farmers include cereals (rice, maize, millets), legumes (beans, pigeon pea, rice bean, pea, soybean, cow pea), oilseeds(ground nut mustard), root crops (cassava, potato, colocassia, yam, sweet potato), cucurbits (bottle gourd, snake gourd, pumpkin, cucumber, bitter gourd, melons, ridge gourds etc.), seeded vegetables (okra, chilli, brinjal, tomato), fruits (banana, papaya, citrus, ~ 551 ~ Journal of Pharmacognosy and Phytochemistry http://www.phytojournal.com grapes, local fruits), cash crops (coffee, areca nut) and spices (cardamom, black pepper, large cardamom).",Yes
Jaapi is a symbol of respect. It is a traditional Assamese headgear or hat offered to guests.,Yes
"Onions help reduce the level of cholesterol in your body and may also help break down blood clots, lowering your risk for heart disease and stroke.",Yes
is grouchy. and wants bmar,No
Boredd. Colddd Internet keeps stuffing up,No
"Tomorrow is kati-bihu in Assam. In this Bihu, we light Earthen lamps praying for a good harvest.",Yes
enhance Energy healing through Marma as well as The Connectivity between chakras and mama,Yes
The Apatani system of rice cultivation is not found anywhere else in the world. It is highly efficient and helps to preserve the ecosystem in which it is practiced. The farming system is still organic in nature and has not yet been influenced by modern farming techniques and the introduction of chemical fertilizers and pesticides.,Yes
"""Chunjun"" is a Karbi traditional religious ritual.",Yes
lovebscott umm nope..think im an insomniac ..plus i got the flu...i'lll be sleepin like a phuckin fish outta water any minute now!,No
How Turmeric can change your life? It is a effective Anti-Inflammatory. Curcumin is turmeric's star anti-inflammatory ingredient. Turmeric's anti-inflammatory properties have recently been established to be similar to its man-made synthetic equivale,Yes
"In the hills, natural perennial streams are the main source of water for domestic and irrigation uses. The drip irrigation using bamboo is practiced by farmers in jaintia hills of Meghalaya to irrigate arecanut and betel vine grown on steep hill slope with bouldary soil. The khasis (Meghalaya) cure the arecanut in the flowing water.",Yes
"The chapchar kut is held at the start of the agricultural year, after the forest has been felled and before the burning of the new fields begins—usually sometime in March.",Yes
"In Arunachal Pradesh, farmers protect springs from flooding and encroachment of livestock. They maintain water sources by using locally available materials mainly stone, wood, bamboo, soil etc. In this state, farmers believe that the use of cowdung slurry can protect crops from aphid attack and as repellent to cutting and biting insects and animals. Cattle urine has successfully used against thrips, mites, aphids and caterpillars. Application of extracts prepared from the parts Sisnu (Urtica spp) and fruits of Timuz",Yes
Honey is acidic in nature (pH between 3.2 and 4.5) which is low enough to inhibit growth of various microorganisms,Yes
,Yes
CUCUMBER has a cooling effect that improves the skin and closes all the pores.,Yes
"TURMERIC is an anti-inflammatory, which will help shrink the size of the pimple.",Yes
‘...We are so proud of everything our dad achieved in his remarkable life. He was a healer and unifying force. His music brought people together.’,No
"has Finland sleeping for the night, not really enough time",No
"AI, robotics, and many other technologies are creating opportunities for us to revolutionize the future of the #energy industry.",No
Bamboo cotton buds are 100% biodegradable and are a perfect alternative to harmful plastic cotton earbuds.,Yes
"i should be sleeping, i have a stressed out week coming to me.",No
"theresawhite this is true, lol but it's still a slap in the face after such a warm end of march",No
"Ojapali, Devdasi, and Satriya are the major dancing styles of Assam.",Yes
"I reaaly miss john mayer's twitters. fuck rude people. Remove him if you don't like his tweets, bitchfucks.",No
"The mim kut, for instance, is held in August or September, after the first harvest of the year; it is intended both to give thanks and to honour deceased relatives. The pawl kut is also a harvest festival, which takes place in December or January. Among shifting agriculturalists.",Yes
Torturedlady yea ma'naaaaaaaaaaaaaaaaaaaam (marwan accent) lol,No
"There are many types of Jaapi like the Halua Jaapi, Pitha Jaapi, Sorudoiya Jaapi, Bordoiya Jaapi etc.",Yes
Japi is a traditional conical hat from Assam.,Yes
danielledeleasa http://twitpic.com/2y1pe - I hate 2 B allergic i want a puppy soo bad that i've already thought some cool names,No
